video_id,title,published_at,views,likes,comments,duration
l5PTG1m9vEE,She Used To Be A Man,2020-04-20T12:00:21Z,5205053,81166,7098,PT1M5S
7wQ93t7q8ss,Women VS. Men,2020-04-17T12:00:04Z,1797149,45202,3550,PT1M14S
qsMiiLHVDe8,Why I Wake Up Early,2020-04-15T12:00:23Z,3184634,64681,5124,PT1M11S
mn2UAPYD5PM,How Armenia Teaches Kids,2020-04-14T12:00:24Z,604307,13521,1062,PT1M10S
ZuLC4j_ohdw,The Hidden Cost Of Japan,2020-04-13T12:00:32Z,2230513,45776,2212,PT1M7S
xvyMZ_4Zmj8,Energy From...Poop?,2020-04-11T12:00:35Z,933905,22719,1710,PT1M25S
HUq0rsv107I,How White Is London?,2020-04-09T12:00:13Z,1894347,40295,4629,PT1M14S
TAQctZpOuVs,The Most Fun Country,2020-04-08T12:00:13Z,1394098,32420,1861,PT6M1S
_-RXonU5t5Q,Slums Of India,2020-04-07T12:00:26Z,422068,14563,1424,PT1M7S
sXmgmEUx4HQ,Does Your City Have This?!,2020-04-06T12:00:26Z,338636,10127,1552,PT1M7S
VOEog1_OoXk,She Has 20 Cars,2020-04-03T12:00:24Z,2077214,42482,4546,PT1M3S
dMDAcJ7eXHI,"The ""B"" Word",2020-04-02T12:00:30Z,1539055,34580,3295,PT1M20S
xSS4eceZd0o,"She Has 1000 ""Animals""",2020-04-01T12:00:28Z,2534474,39843,1561,PT1M7S
ySsGRbTIXZg,Why I Never Drink Coffee,2020-03-31T12:00:22Z,3780553,75092,6450,PT1M9S
2Kj4Hs4pGwg,She Can Build A House From Glass,2020-03-30T12:00:00Z,3829424,60704,2350,PT1M7S
JoCdlHCNP78,The Visa-Free Country,2020-03-27T12:00:10Z,458307,13018,988,PT1M21S
8cJ9ZIOX0tg,He Is The Hyena Man!,2020-03-26T12:00:04Z,1201611,20203,1501,PT1M22S
wdreKcMgyu4,Albania's Tattoo King,2020-03-24T12:00:30Z,666925,11403,855,PT1M21S
nH42Jd2D2zU,How Singapore Drives,2020-03-23T12:00:30Z,414929,11074,1061,PT1M13S
uwRWBWVSUDo,How I Learned To Swim,2020-03-21T12:00:19Z,1501306,34790,2833,PT2M8S
RVwGdUiPsPU,$12 For 1 Grape!,2020-03-20T12:00:17Z,8011841,96035,5096,PT1M6S
RZFdiFRfENg,"$150,000 For A Golf Cart?!",2020-03-19T12:00:12Z,736309,12513,834,PT1M12S
sMTXUr1dzE8,World's Biggest Nut!,2020-03-18T12:00:32Z,4891179,81666,11891,PT1M18S
O1nBvQ5noeo,He Built A Robot From Trash!!,2020-03-17T12:00:15Z,2258540,49393,2922,PT1M3S
RgHFlEL-Bhk,He Knows Every Language!,2020-03-16T12:00:23Z,10990324,252761,11147,PT1M9S
ngqYdxSjyYU,The Country Of Potatoes!,2020-03-15T12:00:12Z,248519,6043,1312,PT1M24S
utvMELIxyw4,Is This A Bad Relationship?,2020-03-10T12:00:16Z,507992,14409,744,PT1M11S
AQKOAU_vVO4,About Eating Meat...,2020-03-09T12:00:01Z,580495,20327,2108,PT1M8S
GTs6t3L8CDg,We Got Married!,2020-03-06T12:00:02Z,3302261,109999,4274,PT1M7S
AOzwxAJl7lg,How Expensive Is Apple?,2020-03-05T12:00:04Z,3551504,66385,3651,PT1M6S
YoaS3ZFhEQI,"$20,000 For Fish?!",2020-03-04T12:00:12Z,959233,17335,1041,PT1M7S
1djLaZHc-Ho,How Cheap Is Egypt?!,2020-03-03T12:00:01Z,3298485,49711,4010,PT1M7S
twcOcGZN0BY,He Wants To Beat Google,2020-03-02T12:00:17Z,11718976,255194,7819,PT1M5S
eV7BQloiqTQ,They Almost Killed Each Other,2020-02-28T12:00:09Z,4232873,72574,2698,PT1M6S
iQjGYEPm4xU,The Country Of Potatoes!,2020-02-27T12:19:26Z,319050,9230,1409,PT1M24S
m5m3EuazoXI,Where Eggs Don't Fall!,2020-02-25T12:00:06Z,1922188,30821,1162,PT1M5S
RRP9EUMf46A,The Coolest Museum That You've Never Seen.,2020-02-24T12:00:11Z,533548,10462,599,PT1M9S
ny-mcjEiR30,The Country With No Army!,2020-02-23T12:11:01Z,494099,15412,2045,PT1M15S
eQT_r3Fj4g0,World's Best Metro!,2020-02-21T12:00:08Z,2899450,45702,4734,PT1M18S
_zWIrE1igkY,Can You Eat This?!,2020-02-18T12:00:08Z,2907545,44171,4699,PT1M9S
xpNpVEB69Vg,My Greatest Gift,2020-02-14T12:20:47Z,392043,13967,1100,PT1M26S
av28ArB5FnY,Why Canadians Are The Best,2020-02-11T12:00:00Z,384125,12220,1024,PT1M22S
HdIH08CaMkw,The Country Of Olives,2020-02-10T12:00:02Z,552175,13480,1568,PT1M14S
248zzLdMMAY,How I Googled My Way To Harvard,2020-02-08T12:00:01Z,1450449,48450,2040,PT1M19S
qCPTlYBlaS4,The Ocean Disappeared!,2020-02-04T12:00:11Z,5891917,115664,3857,PT1M7S
IOtqtqpHZ6E,$5 For Air?!,2020-02-03T12:00:02Z,12740255,176112,7744,PT1M10S
hWXam0AGoxk,Don't Take This For Granted!,2020-01-31T12:00:14Z,830850,20813,875,PT1M10S
MMj91fmaPOU,World's Most Peaceful Country!,2020-01-30T12:00:03Z,615314,17599,1668,PT1M5S
btU1kKVTjI8,She Broke Up With Her Boyfriend,2020-01-29T12:00:14Z,2469206,46502,2880,PT1M10S
D2Nmb3s_vbA,The Forbidden Land,2020-01-27T12:00:02Z,1886901,41214,6088,PT1M15S
LC3QVfGe1RU,He Got Arrested 8 Times!,2020-01-24T12:00:04Z,5152152,86529,2323,PT1M7S
E-joL-71OPc,Where People Don't Die,2020-01-23T12:00:04Z,2106873,41214,3318,PT1M20S
wzPubhYYtzk,She Built A House From Milk Boxes,2020-01-22T12:00:13Z,3173522,53050,2029,PT1M6S
UaNAU2fADec,How China Copies Its Way to Success,2020-01-21T12:00:04Z,1859756,39408,2318,PT1M16S
HHB_GMul0C8,Wikipedia Is Banned?!,2020-01-19T12:00:03Z,2660567,75025,8948,PT2M17S
gp47ipIwI30,The Village With Small Feet,2020-01-17T12:00:11Z,3999342,47527,1656,PT1M14S
R9PMGqbdthg,Where Men Cook!,2020-01-16T12:00:09Z,647087,14377,1360,PT1M18S
5vJN4uiX_So,We Killed The Ocean,2020-01-15T12:00:00Z,3679089,56567,3637,PT1M25S
PSpSu1maU44,My Girlfriend Is Richer Than Me,2020-01-13T12:00:07Z,5453676,146650,4244,PT1M5S
YvUOo8J1xIo,How I Stopped Cursing,2020-01-10T12:00:08Z,3350881,74928,3820,PT1M6S
